time,hitch_yaw_deg,hitch_lat_force,trailer_y,car_yaw_deg,car_roll_deg,car_y,tl_grip,tr_grip,fl_grip,fr_grip,rl_grip,rr_grip,front_weight,rear_weight,car_speed
6.001999999999561,5.7768673306469864e-05,-39.83516264881971,-9.428907016729616e-07,-2.946368046109284e-07,-2.3386923130823244e-09,-9.714249160484461e-07,4363.160185005871,4401.002540377904,7312.688687991837,7302.777770078147,7038.958540198388,6586.600924312137,14615.466458069983,13625.559464510525,23.252494670191393
6.003999999999561,0.00016701792170286945,-35.79515247038294,-7.232926470197846e-07,-3.712177331838868e-05,-6.215727276161608e-06,-2.1153158423244767e-06,4367.7302647503875,4401.107006272412,7296.580659044117,7251.2853273301225,7006.25341308351,6617.226975275707,14547.86598637424,13623.480388359218,23.24724023402788
6.005999999999561,0.00031498313123607796,-28.003168253184374,-3.084038058306179e-07,-0.00010723942031411337,-1.6386790059691543e-05,-4.3313904236281124e-06,4372.885885942214,4398.703458117812,7300.984249276689,7242.00661722955,6951.341993996307,6673.021439200037,14542.99086650624,13624.363433196344,23.24202922653318
6.00799999999956,0.00048394033236795323,-17.31768077353685,2.5784596153580727e-07,-0.0002027527874851538,-2.8030528247905854e-05,-7.3898792395920395e-06,4378.473374075371,4394.355784374222,7301.482513958472,7286.008384496614,6894.923774767438,6732.673345099249,14587.490898455086,13627.597119866687,23.23685788149477
6.00999999999956,0.0006527895370137259,-4.500830707154607,9.166333838106803e-07,-0.0003123083323480125,-3.909214557972432e-05,-1.0926992940739962e-05,4384.474658050676,4388.65320359305,7313.329506894276,7349.502894201022,6823.136729266478,6809.154221518487,14662.832401095298,13632.290950784965,23.231723252859062
6.01199999999956,0.0007979025456737166,9.992593556941433,1.5981009299763083e-06,-0.0004221855357738618,-4.7510735455764226e-05,-1.4488420377907402e-05,4390.864259136182,4381.879847004326,7333.9195846076545,7426.6627474563375,6737.551539920081,6900.492629328731,14760.582332063992,13638.044169248813,23.226623567413856
6.01399999999956,0.0008937063945018336,25.848689940366764,2.2234509318043704e-06,-0.0005168288106049072,-5.1294803526820866e-05,-1.7546438758859195e-05,4397.63802680419,4374.212445373792,7361.709719086011,7513.384897743574,6638.977027587816,7005.6097301951195,14875.094616829585,13644.586757782936,23.221557561438043
6.0159999999995595,0.0009130704816134916,42.857808173165985,2.706261502720334e-06,-0.0005792053857900562,-4.855817865406908e-05,-1.9511104046871525e-05,4404.803921164956,4365.750739249354,7395.882991293271,7606.939535454601,6527.720256903973,7124.027513891691,15002.822526747872,13651.747770795664,23.216524298448842
6.017999999999559,0.0008275488568901565,60.88682936735549,2.9532514281054325e-06,-0.0005910347858567053,-3.753185722426627e-05,-1.9737073874687357e-05,4412.37560022459,4356.539683437286,7436.097912947148,7705.708105965472,6403.781516981664,7255.649993744564,15141.806018912619,13659.431510726228,23.211523029730326
6.019999999999559,0.0007471667983595655,-29.402282680062324,2.8646603762582037e-06,-0.0005329241393760128,-1.6562434238438764e-05,-1.7527220773654668e-05,4605.515142698942,4635.536188629898,0.0,0.0,6612.045717334584,6287.503401588343,0.0,12899.549118922927,23.20655308648758
6.021999999999559,0.0006727768907938027,-20.75998196231705,2.8446485508176934e-06,-0.0004883300263795677,-3.170366363764631e-06,-1.638383335129604e-05,4614.782235241625,4628.588991239403,0.0,0.0,6363.430247945266,6527.140377274356,0.0,12890.570625219621,23.202638527974973
6.023999999999559,-0.0005076036123390395,670.621563865325,2.85537846980792e-06,-0.00045381049237434124,1.0497847076516784e-05,-1.5983916352924702e-05,4608.499837758951,3960.8049356401243,9652.067706390808,12316.044893065631,2545.6228294352395,11486.330639491409,21968.11259945644,14031.953468926647,23.19876358727057
6.025999999999558,-0.0029639950946202527,773.6672106774707,-8.986973848864041e-07,0.00032765513170494257,0.00015905397999596067,1.0685790005707004e-05,4628.156635343415,3902.9955502952653,10176.229078595337,13497.051581414536,2006.7285963581444,12177.899523725619,23673.280660009874,14184.628120083762,23.19339461922596
6.027999999999558,-0.005362968057819985,-22.52037307439663,-9.012424343426426e-06,0.0019740704977093643,0.00044892051769821937,6.799365502179482e-05,4611.232517349716,4633.73533828632,0.0,0.0,6012.734075633783,6843.766915680504,0.0,12856.500991314286,23.18792114797676
