time,hitch_yaw_deg,hitch_lat_force,trailer_y,car_yaw_deg,car_roll_deg,car_y,tl_grip,tr_grip,fl_grip,fr_grip,rl_grip,rr_grip,front_weight,rear_weight,car_speed
6.001000000000339,0.049009041085497744,-1.7601903977859006,-7.299305212499616e-06,-7.577773332618513e-05,-4.511300683432611e-05,1.8761062904585712e-06,0.0,23.244151853560936,71.23536716482079,71.19389524995844,23.260883910782837,15.800839860753545,142.42926241477923,39.06172377153638,7.83148093294033
6.002000000000339,0.056903868907577766,-1.4106692033826596,-1.148921839826354e-05,-0.0010629168255975798,-0.00017725359762269473,-3.9515863053886744e-07,0.0,22.899556063276574,65.96809718309223,65.88995970514208,22.710322592168282,15.46172035902655,131.8580568882343,38.17204295119483,7.83123034488841
6.003000000000339,0.059976698272110454,-1.3111171181768932,-1.3267134233246868e-05,-0.002933724788586063,-0.0004141546300713551,-4.833862080367808e-06,0.0,21.62546344734753,60.68337772277362,60.57124686370878,21.987438478530393,15.18330430050471,121.25462458648241,37.1707427790351,7.830899069109465
6.00400000000034,0.05843444181602989,-1.220936156745867,-1.2771239744685008e-05,-0.005599406553087966,-0.0007365438668311591,-1.1276699003466547e-05,0.0,20.42870535647801,55.43292812328505,55.29004141335328,21.262557875502093,14.909561493427422,110.72296953663833,36.172119368929515,7.830573960877971
6.00500000000034,0.05039825447058037,-1.1361390714134996,-1.012782383960451e-05,-0.008971656916807179,-0.0011266625865350853,-1.9563567948238802e-05,0.0,19.478732246771045,0.0,0.0,16.04614486688276,12.160564681253701,0.0,28.20670954813646,7.830249486113149
6.00600000000034,0.036457872108467806,-1.1363121446978337,-6.355588287308739e-06,-0.011646048359724142,-0.0015887357410476247,-2.947388695192037e-05,0.0,17.440162471334382,0.0,0.0,13.131072273899393,14.689040018023963,0.0,27.82011229192336,7.83088008212176
6.007000000000341,0.022570130945301307,-0.004521424213058805,-4.3416088451228044e-07,-0.014256488682104664,-0.0019787593620792395,-3.936104161461825e-05,0.0,0.0,0.0,0.0,12.459631495182787,13.429731200477818,0.0,25.889362695660605,7.831702717520906
6.008000000000341,0.00872442271754736,0.006014632183906928,5.495182656885516e-06,-0.016875246661910537,-0.002304833448131216,-4.910731228829092e-05,0.0,0.0,0.0,0.0,12.461149899945099,13.378898564272124,0.0,25.840048464217222,7.83415777500652
6.009000000000341,-0.005097301313085359,0.014786215147472435,1.1427411239915521e-05,-0.019496938046639958,-0.0025731732552700917,-5.872604826077641e-05,0.0,0.0,0.0,0.0,12.483169616003375,13.31343906474022,0.0,25.796608680743596,7.836610000031319
6.010000000000342,-0.01891195789255186,0.022659990875964514,1.7352630262851057e-05,-0.02211239781329194,-0.002790456663644774,-6.824071884210406e-05,0.0,0.0,0.0,0.0,12.506466212264536,13.250941044612357,0.0,25.757407256876895,7.839059051323282
6.011000000000342,-0.03273469625472707,0.029773506781777412,2.3261367388263437e-05,-0.024713035842235075,-0.002962825595892956,-7.767359427682584e-05,0.0,0.0,0.0,0.0,12.529349720374327,13.192818110706707,0.0,25.722167831081034,7.841504586477365
6.012000000000342,-0.046578974385086645,0.036193953497129436,2.9144985061767142e-05,-0.027291160263513612,-0.003095841899510966,-8.70448719297818e-05,0.0,0.0,0.0,0.0,12.551719680332749,13.139022503315642,0.0,25.69074218364839,7.843946260866399
