time,rel_trailer_x,rel_trailer_y,rel_trailer_z,hitch_roll,hitch_pitch,hitch_yaw,car_speed
12.202000000000744,-5.8908644259443985,0.14128170119012787,-0.06215780792849493,1.1676461783370797,-1.6134800800436973,-3.458240893085702,22.589533767351046
12.204000000000745,-5.890351918435923,0.1475787001605034,-0.06010622219054521,1.1148016379055978,-1.5671357473289238,-3.59401931852246,22.58707650562728
12.206000000000746,-5.889825991473471,0.15380541004957873,-0.05805131042654367,1.0593946213454015,-1.5205342603930503,-3.728735816913018,22.58540087760362
12.208000000000746,-5.889284437827811,0.15999507288268158,-0.055985155363393345,1.0083845031778873,-1.4736057957023998,-3.8639232880409864,22.583148552543026
12.210000000000747,-5.88872493610727,0.16618363976119552,-0.05390526241369722,0.9613204393674367,-1.4263406153910538,-3.9996173489316535,22.58019574263294
12.212000000000748,-5.8881471658215405,0.17237466564671095,-0.0518111170729362,0.917722298088153,-1.3787413018222654,-4.135862419378326,22.57734424625848
12.214000000000748,-5.887550776080854,0.17857222657051966,-0.04970275849383203,0.8705145313691605,-1.3307627169491199,-4.271175711768075,22.57458121901627
12.216000000000749,-5.886937903673282,0.1847430128254764,-0.047577666954591535,0.8271653307945276,-1.2823736560295074,-4.407186751570798,22.572747190165124
12.21800000000075,-5.886305761690578,0.19092487757037058,-0.04543499737771035,0.7810222496237366,-1.2335406261261805,-4.542473290398268,22.5701060897897
12.22000000000075,-5.885656591521625,0.19708527367617212,-0.043272819088738056,0.7391539191031211,-1.1842455933044347,-4.67855618687563,22.568341866348668
12.222000000000751,-5.884987653105662,0.20325905201873493,-0.04109078488365312,0.7015152550344321,-1.1346594077024048,-4.816123821900495,22.56579868289381
12.224000000000752,-5.88429687840541,0.20947671488100242,-0.038896408558043334,0.6677888191651187,-1.0850070582318898,-4.95508585379793,22.564699432518985
12.226000000000752,-5.883584948960557,0.21573569302795284,-0.03669958542544764,0.6376352632968473,-1.0354896812155736,-5.095306849799504,22.563246865535778
12.228000000000753,-5.8828526801589165,0.22203153539541762,-0.03450915975589089,0.6038023091670032,-0.9862219822698072,-5.235025007632853,22.56154648131065
12.230000000000754,-5.88210424439603,0.22831957050923546,-0.03232982554736979,0.5588963443185487,-0.9372335730926704,-5.372622368585395,22.56056222696694
12.232000000000754,-5.881343306145915,0.23456213716923258,-0.030162589435200372,0.5096839952889451,-0.8885383573904994,-5.509580171476663,22.559978688374805
12.234000000000755,-5.880567018874839,0.2407937052080176,-0.028008455979239913,0.4637867678189097,-0.8402014055678872,-5.647405175547308,22.558603566801676
12.236000000000756,-5.879772662569555,0.24704595656612927,-0.025870628797664285,0.42088802518630214,-0.7923338651094375,-5.78600248852255,22.55640632272264
12.238000000000756,-5.878960821362505,0.25331613673189896,-0.023753970120801667,0.3806764992754954,-0.74503712404694,-5.9252839620826085,22.554202045675314
12.240000000000757,-5.878132055430773,0.2596017687305905,-0.021662916266146588,0.3366763165620043,-0.69832934744117,-6.063684517320346,22.552009633282886
12.242000000000758,-5.877290516803649,0.2658634102555418,-0.019598064630891344,0.2961015053025749,-0.6522633041264401,-6.2027071256959765,22.550339540384734
12.244000000000758,-5.876433065873547,0.2721343940950985,-0.017561949644720715,0.25866306182439863,-0.6069168809879117,-6.342282455554458,22.548178537515465
12.246000000000759,-5.875560195368352,0.27841298050213525,-0.015557967739688466,0.21809603108138184,-0.5622855308665331,-6.480893981026293,22.546058414581346
12.24800000000076,-5.874676202800114,0.2846609554604659,-0.013585774050659897,0.18141410645535763,-0.518408987703078,-6.620021084678501,22.544406929398406
12.25000000000076,-5.873777718954432,0.2909114912582523,-0.011647247411698085,0.14833683476860343,-0.47535030575979864,-6.759607151287144,22.54235346543108
12.252000000000761,-5.87286519224083,0.29716337825185385,-0.00974512913451425,0.1185814400674843,-0.4331695749469343,-6.899598413649741,22.540348263780427
12.254000000000762,-5.8719390612906865,0.30341554695434075,-0.007882035047661015,0.08584121928228797,-0.39184205077186296,-7.038441429435655,22.53839137595492
12.256000000000762,-5.8710041622543985,0.30962842508598404,-0.006056797093839546,0.046971963510399874,-0.3513502256604981,-7.175683652878459,22.53685440566946
12.258000000000763,-5.870061486253795,0.31579643423921144,-0.00426864654402922,0.0022867217422639675,-0.3116509067121007,-7.311493751603769,22.535977012648235
12.260000000000764,-5.869110483053495,0.3219255643611911,-0.0025157266290451973,-0.04609661560199415,-0.2726643311299318,-7.446056044420221,22.5349736816314
12.262000000000764,-5.8681513551824125,0.32801429967889356,-0.0007945638093825487,-0.09160119491543713,-0.23441756815959627,-7.580841189403489,22.533334780883816
12.264000000000765,-5.867179950587609,0.33409731782001767,0.0008936593879392768,-0.13449576576838695,-0.196955549799588,-7.7158193036665725,22.531494448269775
12.266000000000766,-5.866196570201209,0.3401745408266756,0.002546993665040135,-0.17504446671968696,-0.1603230643009947,-7.850966279140163,22.52969216890326
12.268000000000766,-5.865201487044148,0.3462461260175203,0.004163491190069373,-0.2135065941199437,-0.12456481126706356,-7.9862595661460745,22.52792490439467
12.270000000000767,-5.864194969376508,0.35231228020285194,0.005741203742743564,-0.25599222314983805,-0.08962937595531278,-8.120169542044422,22.526191222253203
12.272000000000768,-5.863182516884887,0.35833371916204,0.00728230331182715,-0.3006123641846683,-0.05545917651133638,-8.25297021765836,22.5246715595229
12.274000000000768,-5.862163745988201,0.3643138970451755,0.008789341755295072,-0.34125960209230655,-0.022083667488898444,-8.386061903532747,22.523113724315568
12.276000000000769,-5.86113414600259,0.3702864540699158,0.010261169513010544,-0.378166870331793,0.010456207351743333,-8.519431093912207,22.521420907337095
12.27800000000077,-5.860093932536513,0.37625187545769545,0.011696017227438398,-0.411571452690837,0.04211914491903558,-8.653063731390661,22.519755126515737
12.28000000000077,-5.859043321764903,0.38221064469782406,0.013092093659469176,-0.4417132149178866,0.07286362668082584,-8.786945315342143,22.518115584259668
12.282000000000771,-5.857982530042786,0.38816324019976406,0.014447592696245638,-0.4789637229254033,0.10272124941693259,-8.919063729106792,22.516501479883065
12.284000000000772,-5.856918014365839,0.3940686707040787,0.01576354721664747,-0.5228738366584116,0.13174970536996738,-9.049654984653706,22.515931198717865
12.286000000000772,-5.855848572428247,0.39993521561104495,0.017042463938218712,-0.566031411778992,0.15993307844117383,-9.180309443422779,22.515092877891266
12.288000000000773,-5.8547687283421,0.4057988234311652,0.018283912511367684,-0.6145043099981231,0.1873454151689011,-9.309477710679165,22.513484590077326
12.290000000000774,-5.853684857186929,0.4116193032571708,0.019490877298020674,-0.6663516640770424,0.21405290692821224,-9.437445831311456,22.5119025622294
12.292000000000774,-5.8525963612982945,0.41740037274619335,0.0206663244621742,-0.7153467965795124,0.24002147148417405,-9.56565629068422,22.510318817549685
12.294000000000775,-5.851497771507529,0.4231768367029398,0.021809069339780725,-0.7616822730135135,0.2652145598292126,-9.694101146369704,22.508724114167507
12.296000000000776,-5.850389231211089,0.4289492414281276,0.02291752613246625,-0.8055511464061005,0.28959477917211524,-9.82277134970544,22.507149212865013
12.298000000000776,-5.849270892495851,0.43471808965346814,0.023990067383994396,-0.8471457383488885,0.313124091335959,-9.951656936900958,22.50559433760322
12.300000000000777,-5.8481429150334145,0.440483843309773,0.02502503318103875,-0.8866565086685918,0.33576400634740144,-10.080747205172445,22.504059618982776
12.302000000000778,-5.847005464964382,0.4462469260196136,0.02602074012563909,-0.9242710156420951,0.3574757703689119,-10.210030874688465,22.50254509648392
12.304000000000778,-5.845858713776723,0.45200772535853095,0.02697549003605476,-0.9658813609057105,0.3783423433559438,-10.337984789996874,22.501050721008834
12.306000000000779,-5.844709663703892,0.4577265447893815,0.027892511622376152,-1.0094628160891883,0.39842804807509224,-10.464906205166356,22.499529813640265
12.30800000000078,-5.843557599679375,0.46340719478751874,0.028774768618232152,-1.0580651995672739,0.41783251976449265,-10.59035497487306,22.498001728207736
12.31000000000078,-5.842403380676737,0.46904423381419413,0.029626381185004786,-1.1114997252131857,0.4366136686736461,-10.714510866040259,22.497028970761033
12.312000000000781,-5.841245719995324,0.4746446052560206,0.03044986437933777,-1.1626043167359874,0.45479094592960134,-10.83883002561862,22.49591311280087
12.314000000000782,-5.840078722618467,0.4802392990859692,0.03124668167418826,-1.2115125862174674,0.4723379432121294,-10.963278633405789,22.494526284870368
12.316000000000782,-5.838902735218195,0.48582747174651525,0.03201568706061845,-1.2583856044954316,0.48922420713002707,-11.087842519743894,22.49315843177587
12.318000000000783,-5.837717939806371,0.49140925946997105,0.03275555024259734,-1.3031923491216892,0.5054624405293343,-11.212496873440786,22.491804307273597
