time,hitch_yaw_deg,trailer_y,car_yaw_deg,car_roll_deg,car_y,tl_grip,tr_grip,fl_grip,fr_grip,rl_grip,rr_grip,front_weight,rear_weight,car_speed
11.002000000000344,6.987576574455034e-06,3.8223707119781454e-16,-2.7475568419642343e-15,4.7040851791446085e-15,1.2078604643800035e-16,5793.9607184525485,5782.3166010633995,8670.893321898502,8450.036279999105,3795.990165923124,3624.3375155558833,17120.92960189761,7420.327681479008,28.688350203234148
11.004000000000344,2.188423736404981e-05,-2.357875984186295e-08,-1.6190805096316695e-06,-2.3092668780875264e-06,8.00453356058139e-08,5800.4976089641905,5787.086715883437,8423.058875586325,8669.762523882111,3600.331699618844,3792.0257359862035,17092.821399468434,7392.357435605048,28.688369614726017
11.006000000000345,4.4726426479452046e-05,-7.352460287262108e-08,-4.96827674678597e-06,-1.5575736349478773e-06,2.3597623098530158e-07,5803.711319406129,5790.028503366842,8586.481545020913,9177.553196603109,3156.978725115568,4062.7366034926945,17764.034741624022,7219.715328608263,28.6883845566175
11.008000000000346,7.587718713596732e-05,-1.491503031196125e-07,-9.896794424473148e-06,1.1155219383328956e-05,4.45179303720281e-07,5804.027341842026,5789.829470357595,9242.91879538186,10263.797685542064,2596.1832878152945,4223.471779838701,19506.716480923926,6819.6550676539955,28.688396872869045
11.010000000000346,0.00011635821040972031,-2.4976429175465456e-07,-1.6370441568674414e-05,4.2837739907043034e-05,6.938168933858091e-07,5803.589954875897,5787.926893493099,10053.211336758835,11587.512247172624,1904.611062844499,4432.609231771898,21640.72358393146,6337.220294616396,28.688408663514664
11.012000000000347,0.00017258793308563592,-3.761093190745153e-07,-2.448546576756525e-05,0.00010177661648536135,9.71944868765462e-07,5802.4785782845465,5776.573412882375,10825.95673855301,13033.041726005478,1275.6969035134398,4589.909376677742,23858.99846455849,5865.606280191182,28.688420598834
11.014000000000348,0.0002506323055430249,-5.457353598785576e-07,-3.55087268503842e-05,0.0001993359775559674,1.319207417597211e-06,5792.812863211897,5757.066050765859,11447.078617515555,14572.806375322496,840.1164329964579,4616.916531931924,26019.88499283805,5457.032964928381,28.688435955933784
11.016000000000348,0.00036917546697406436,-7.746017725813393e-07,-5.053936207386548e-05,0.00035179008573106135,1.7588044374186908e-06,5776.1617430887,5710.177247086438,11827.391151786314,15966.21297135948,659.6884688087603,4580.006431282856,27793.604123145793,5239.694900091617,28.688461326832012
11.018000000000349,0.0005501560887444984,-1.1175140107620202e-06,-7.351815990312745e-05,0.0005771526201043829,2.4443138322701678e-06,5759.99807522415,5658.609787174947,12213.385190647752,17301.313867583533,476.7752513001826,4569.419260005066,29514.699058231286,5046.194511305248,28.688509782091373
11.02000000000035,0.0008163643396466586,-1.6370552451435307e-06,-0.00010915748342035625,0.0008926832242482009,3.566854465946482e-06,5744.374993583002,5606.961226172174,12795.614138453016,19035.488820389623,304.13354565194504,4410.131929683595,31831.10295884264,4714.26547533554,28.688582113865227
11.02200000000035,0.0011899542111589794,-2.3932063035867583e-06,-0.00016247108954077643,0.0013118701726254388,5.338277633055547e-06,5718.342391199218,5547.112271100212,13389.527660077896,20770.960996861035,169.3494102467539,4265.133254728893,34160.488656938935,4434.482664975647,28.68867769929765
11.02400000000035,0.001699792157061119,-3.436461198941937e-06,-0.00023837297591444652,0.0018486528283390281,7.964963487316772e-06,5675.860344134871,5461.643241643536,13945.0970985365,22075.117148580426,44.59954220799535,4343.157987731153,36020.21424711693,4387.757529939148,28.688803144102433
11.026000000000352,0.002350377066818232,-4.829145497320576e-06,-0.0003433928487520339,0.002515644205181727,1.1731463306123624e-05,5764.176542455471,5541.095899729007,9579.577557068424,21986.887813845322,1006.267480758954,3707.651339029507,31566.465370913746,4713.918819788461,28.68897517709742
11.028000000000352,0.003133140754006141,-6.587411198157457e-06,-0.0004813432786763348,0.00316077475327943,1.7082185789305283e-05,5872.7190511941335,5697.899982541376,0.0,22379.75997382673,6192.590499499476,37.559275300743174,22379.75997382673,6230.149774800219,28.688202799086902
11.030000000000353,0.004071103767031959,-8.572533999767919e-06,-0.0006608464389068016,0.003258794848000288,2.5338669673825945e-05,5821.552436893023,5626.698604339235,0.0,23706.879894403937,6259.650658947512,33.39309682705087,23706.879894403937,6293.043755774563,28.6882883470298
11.032000000000354,0.0051925110415134415,-1.0771327859547775e-05,-0.0008873319802346633,0.002832895040036102,3.6715357267792136e-05,5766.988557344781,5543.179812332923,0.0,25445.630906404847,6279.149387127198,27.273399941315354,25445.630906404847,6306.422787068514,28.68841890763287
11.034000000000354,0.006531575549497979,-1.3188437520797501e-05,-0.001167809690111299,0.0018844791108782572,5.153890169042849e-05,5708.503231628707,5446.614773765468,0.0,27633.595338983254,6246.273393060577,19.20105978130802,27633.595338983254,6265.474452841885,28.688599083743416
11.036000000000355,0.009875949101350463,-1.584386925680982e-05,-0.0015110517846146422,0.0003944801801198598,7.025442791408098e-05,34.27743620800255,267.0234075626543,128719.70736102085,117859.02432641853,0.0,2247.0078595497166,246578.73168743937,2247.0078595497166,28.688833716964893
11.038000000000356,0.013756324382971731,-1.1482022303390522e-05,-0.0023362918930023534,0.002400782848129981,0.00010549712231980475,7341.606207498823,5892.888616470263,0.0,13205.398327346578,0.0,0.0,13205.398327346578,0.0,28.69276457682027
11.040000000000356,0.018733425939457603,-1.073438477006437e-05,-0.003279085089406257,0.003934185073971268,0.00014708413741917878,7211.64536948332,5303.527216540619,0.0,27226.41986971579,0.0,0.0,27226.41986971579,0.0,28.69099905132688
11.042000000000357,0.023700175306025667,-1.3836583721350587e-05,-0.004484503889208801,0.004625524961518086,0.00020247081218650507,7440.824719237586,7171.1414172312025,0.0,0.0,0.0,0.0,0.0,0.0,28.689898371976646
11.044000000000358,0.028642098068607017,-1.730363769562632e-05,-0.005682606579635919,0.0054675066722098455,0.0002572510351262606,7403.438931512452,7357.362348156181,0.0,0.0,0.0,0.0,0.0,0.0,28.68875520235999
11.046000000000358,0.033547908042456956,-2.0268474290939574e-05,-0.0068754699745508545,0.0064810299587807355,0.0003114858788394139,7370.870597638504,7515.942262686562,0.0,0.0,0.0,0.0,0.0,0.0,28.687642385506688
11.048000000000359,0.03826801116134312,-2.2033258914436952e-05,-0.008064917033369427,0.007679253852920753,0.00036523800698976666,5720.962407099934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68655866719715
11.05000000000036,0.05099309363669901,-3.446873362979467e-05,-0.009227373241516625,0.009051235320288,0.0004174197898023912,4760.481831370204,2555.062421602167,0.0,206180.59811427133,0.0,0.0,206180.59811427133,0.0,28.685873145062324
11.05200000000036,0.06395902586797465,-3.2759989810483836e-05,-0.012591320001171722,0.0036933759522842623,0.000584704915755783,0.0,6203.926037781735,0.0,0.0,0.0,0.0,0.0,0.0,28.687034429225072
11.05400000000036,0.07686512067369938,-1.937529526982993e-05,-0.015988283244893077,-0.001446674615488045,0.0007531599705564129,9206.4683888055,8318.72728300885,0.0,0.0,0.0,0.0,0.0,0.0,28.686300155777584
11.056000000000362,0.08968623736334527,-8.121562078110007e-06,-0.019357915095126556,-0.006415739447387452,0.0009200334754259818,8722.244934939,8444.892823776498,0.0,0.0,0.0,0.0,0.0,0.0,28.68515070659711
11.058000000000362,0.11019934677646759,3.3209572377675828e-06,-0.022709376003583335,-0.011211557153174864,0.0010857516760403052,9372.836418531439,4426.0124768252845,107779.63982223687,0.0,0.0,0.0,107779.63982223687,0.0,28.684049449186105
11.060000000000363,0.146336314169954,1.993240492204583e-05,-0.027468684859745615,0.013361857482568205,0.0012663075225709038,608.882079083925,1262.7940401709031,0.0,420160.3079014463,0.0,0.0,420160.3079014463,0.0,28.681858973583882
