time,hitch_yaw_deg,trailer_y,car_yaw_deg,car_y,tl_grip,tr_grip,fl_grip,fr_grip,rl_grip,rr_grip,front_weight,rear_weight,car_speed
11.002000000000344,7.926901440634557e-06,-1.8616063336610923e-16,2.165983216611974e-15,-7.863989490342225e-17,4976.473229931129,4965.46335688401,8544.214128628388,8321.51902893572,4125.40343226428,3959.478779577906,16865.733157564107,8084.882211842187,23.770347336328125
11.004000000000344,2.333328288795525e-05,-2.3120605496261128e-08,-1.9014819891660226e-06,8.330917162948072e-08,4980.351896267114,4969.690742494665,8319.713178188464,8520.668514893105,3955.98934275195,4105.6547959574655,16840.381693081566,8061.6441387094155,23.77036180420904
11.006000000000345,4.49365768606306e-05,-6.796806199247285e-08,-5.507214639514176e-06,2.3327031687274387e-07,4982.093901084356,4972.98566890459,8418.19630517016,8951.0448387464,3589.176111277504,4361.17368458228,17369.24114391656,7950.349795859784,23.77037292652165
11.008000000000346,7.185861239225151e-05,-1.3023649999799475e-07,-1.0366479352417908e-05,4.1713765140361347e-07,4982.127830607391,4974.242320714287,8947.745532616918,9876.229656348985,3140.0738970908997,4547.05029032204,18823.975188965902,7687.12418741294,23.770381832158865
11.010000000000346,0.00010339543405700392,-2.0596332515431253e-07,-1.6160687980290763e-05,6.10495678049903e-07,4981.645696782106,4974.819040555676,9618.312151403694,11017.465380584295,2577.802711644312,4786.617774731258,20635.777531987987,7364.420486375569,23.77038986717719
11.012000000000347,0.00013925391960820983,-2.913228173220353e-07,-2.2599719188672586e-05,7.88762905520631e-07,4980.786052611273,4974.499097733054,10399.902241844338,12323.340258426702,1920.6672914172484,5076.258736605397,22723.24250027104,6996.926028022645,23.77039731023666
11.014000000000348,0.00018377011973077294,-3.8343005759868763e-07,-2.9478832771419523e-05,9.297724418346838e-07,4979.637113360168,4967.554708784568,11147.498430865828,13712.958608689398,1313.300016467419,5330.413417822045,24860.457039555225,6643.713434289464,23.77040439543835
11.016000000000348,0.00024136280997337002,-4.921485639697977e-07,-3.764070580408516e-05,1.051173510860108e-06,4974.387451536627,4956.200611916182,11814.502878751046,15169.282997634184,807.6764753720483,5513.7930522609295,26983.785876385227,6321.469527632978,23.770413364570594
11.018000000000349,0.0003156148775523398,-6.276932927501194e-07,-4.789112786642032e-05,1.1640725196723849e-06,4961.836144363595,4938.541296535074,12288.209287984177,16648.882822326777,549.3381664705521,5525.879364413073,28937.092110310954,6075.217530883625,23.770427449866144
11.02000000000035,0.00041974233830600015,-7.976587063114141e-07,-6.075737996002725e-05,1.2603922877875135e-06,4950.323461829208,4909.118012177877,12853.636950860797,18360.196841187684,325.8005436513578,5481.357730466339,31213.83379204848,5807.158274117696,23.77045274639221
11.02200000000035,0.000574490644892554,-1.0346985898836242e-06,-7.912656383382631e-05,1.4376818228346465e-06,4937.088273867171,4867.794466256052,13470.165969199374,20240.734421832207,199.55114964928973,5345.746012374373,33710.90039103158,5545.297162023663,23.77049305569355
11.02400000000035,0.0007976290130900603,-1.3905798936944837e-06,-0.0001077197564933473,1.874333765323946e-06,4923.236066135003,4829.953636426152,14148.713247860813,22262.231211150058,83.24865520297939,5153.809047990987,36410.94445901087,5237.0577031939665,23.770553267270866
11.026000000000352,0.0010710583637779634,-1.9060999320119436e-06,-0.00015057143077607587,2.7195408307530234e-06,4991.769474136528,4915.8444117997315,9384.440233542955,22100.531240978817,1150.9508384053347,4239.1665063250875,31484.97147452177,5390.117344730423,23.770631457506187
11.028000000000352,0.001474814638834478,-2.5697420463997652e-06,-0.0002059764025080537,4.160194910687065e-06,5058.075906743552,4891.650068452022,0.0,21905.66375329959,7128.619822203899,39.7525508419802,21905.66375329959,7168.37237304588,23.76973136367701
11.030000000000353,0.0020191046842879153,-3.5408648120549048e-06,-0.00029973497230241665,7.85658237387253e-06,5024.557687678989,4850.915491609265,0.0,23149.559970004455,7160.659543678532,36.15851026551982,23149.559970004455,7196.818053944052,23.769806226739078
11.032000000000354,0.0027165685870187313,-4.800334555870537e-06,-0.00043436548498004834,1.389099174005525e-05,4989.783086666182,4806.117870282233,0.0,24641.696619485796,7166.097628479549,31.58567333015314,24641.696619485796,7197.683301809702,23.769908373771045
11.034000000000354,0.004637249802493272,-6.333432085312308e-06,-0.0006132318542751509,2.240428989136955e-05,2004.0689842853346,970.2600133162488,91076.80921219054,92855.39405348126,0.0,2857.8829558357643,183932.2032656718,2857.8829558357643,23.770039087935874
11.036000000000355,0.007029227370246393,-8.503944493934136e-06,-0.0010624710289008274,3.8810586172414125e-05,6176.985236899947,5444.548323316541,0.0,25638.34486606509,0.0,511.88565378167664,25638.34486606509,511.88565378167664,23.77162654655201
11.038000000000356,0.009957176079032631,-1.2170304528252374e-05,-0.0016431074651876239,6.26530327811132e-05,6147.706919616126,5376.0940640240515,0.0,27886.71976677569,0.0,564.5272345178809,27886.71976677569,564.5272345178809,23.771071195029407
11.040000000000356,0.013642225829510902,-1.721882308018029e-05,-0.0023726491253941743,9.466664205807425e-05,6299.70866315049,5293.639979678885,0.0,30575.544882497772,0.0,0.0,30575.544882497772,0.0,23.770580009703938
11.042000000000357,0.017323970048916622,-2.3984967510074667e-05,-0.003302843676722706,0.00013679387300203106,6583.60387238743,6605.191221928421,0.0,0.0,0.0,0.0,0.0,0.0,23.770105322205485
11.044000000000358,0.020990822208888982,-3.020988583927293e-05,-0.004234658499366854,0.00017883521660130215,6549.227742899283,6663.072552145647,0.0,0.0,0.0,0.0,0.0,0.0,23.76909771804194
11.046000000000358,0.029388682574207067,-3.5491558416344e-05,-0.00516749438631065,0.0002207159811129039,7346.75487338544,3413.49628268804,75768.5055674903,0.0,0.0,0.0,75768.5055674903,0.0,23.768118376698194
11.048000000000359,0.04131570000259125,-4.2797127838602894e-05,-0.0069484217768429,0.00026682836605511156,2196.929218209546,1133.0997217981346,0.0,173816.36743520095,0.0,9995.060588765899,173816.36743520095,9995.060588765899,23.766493607547496
11.05000000000036,0.058910861485500024,-4.385894411641409e-05,-0.009770892778339414,0.00036462525133390317,1784.1028749190414,1063.6944409986013,0.0,230163.5153484605,0.0,9042.487636987556,230163.5153484605,9042.487636987556,23.768678980105697
11.05200000000036,0.08374008463313534,-3.0038566175618134e-05,-0.014252643719669606,0.0005404331590575665,446.1335215498809,0.0,0.0,273903.2858792556,0.0,8044.634586586026,273903.2858792556,8044.634586586026,23.77098387311903
11.05400000000036,0.11810598043613689,7.633474031570019e-06,-0.02089716149058531,0.0008158157001846177,0.0,0.0,0.0,289343.73105001997,0.0,0.0,289343.73105001997,0.0,23.773710351684088
11.056000000000362,0.1619527459370083,7.829610804158159e-05,-0.03032333683161897,0.0012136446648761884,0.0,0.0,0.0,287260.7617986157,0.0,0.0,287260.7617986157,0.0,23.77569682534306
11.058000000000362,0.21063338891412334,0.0001817609816114167,-0.042514598619685914,0.001732948889849978,0.0,0.0,0.0,158835.25058830957,0.0,0.0,158835.25058830957,0.0,23.77765257696066
11.060000000000363,0.2593025114247193,0.00030162386904231987,-0.05618944554373213,0.002323576791500706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.777846373479374
11.062000000000364,0.3079577625331028,0.0004215374039376529,-0.06986715741800975,0.0029141416720531777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.777131262518218
11.064000000000364,0.356597400367676,0.0005414945250416612,-0.08354666932286905,0.003504587172932907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.77644083515125
11.066000000000365,0.4054782930773223,0.0006614899505947083,-0.09722715898888679,0.0040948732497272005,0.0,6569.776443292331,0.0,0.0,0.0,0.0,0.0,0.0,23.77577484280502
11.068000000000366,0.45460714484498266,0.0007952297354584283,-0.1109311829553677,0.004685913137804482,0.0,6927.812367003573,0.0,0.0,0.0,0.0,0.0,0.0,23.774659030269202
11.070000000000366,0.5034261658133741,0.0009436536269373536,-0.12466557016443786,0.005277985442127406,11957.233497353622,10727.1518716838,0.0,0.0,0.0,0.0,0.0,0.0,23.773653184714455
11.072000000000367,0.5519346509986927,0.0010918182228040491,-0.13835653017883087,0.0058680992376156805,10791.622870085368,10233.833082678098,0.0,0.0,0.0,0.0,0.0,0.0,23.77213766503974
11.074000000000368,0.6081192382512622,0.001242033893666443,-0.15201428915363024,0.006456675101467676,10281.772424836705,4945.060368369619,122615.98400079337,0.0,0.0,0.0,122615.98400079337,0.0,23.770755408195356
11.076000000000368,0.6640873936408882,0.0013977367059935797,-0.1670167666349539,0.007043978116132848,9259.730298996012,8897.54841771665,0.0,0.0,0.0,0.0,0.0,0.0,23.765252463571304
11.078000000000369,0.7198520753014793,0.0015551847048532429,-0.18199236903175725,0.0076300231291819105,8696.53291300693,8592.447898570725,0.0,0.0,0.0,0.0,0.0,0.0,23.764180164541763
11.08000000000037,0.7753758849877943,0.0017150137976770091,-0.1969460441413044,0.008215022058257306,7778.034286816979,8860.119660212778,0.0,0.0,0.0,0.0,0.0,0.0,23.76318984399732
11.08200000000037,0.8306246969314465,0.001882086706365603,-0.21190154782291812,0.00879994929180722,6972.74238978718,9084.81934619099,0.0,0.0,0.0,0.0,0.0,0.0,23.762277871954655
11.084000000000371,0.8855689992697248,0.002060713225182236,-0.2268798681930554,0.009385666269161515,6274.826994372875,9270.051790454892,0.0,0.0,0.0,0.0,0.0,0.0,23.761436035693407
11.086000000000372,0.9401836304891337,0.0022545848800771123,-0.24189894886915927,0.009972910325320222,5678.041350718339,9419.881252647901,0.0,0.0,0.0,0.0,0.0,0.0,23.760656869047622
11.088000000000372,1.0128236197536853,0.002466820272423488,-0.2569739246323939,0.010562304313335406,388.9183768893817,628.1936434950395,0.0,601808.0090321905,0.0,0.0,601808.0090321905,0.0,23.75993370156204
11.090000000000373,1.0853264270992544,0.002740294398859675,-0.27766557472034503,0.011427592301341324,4797.292694089367,5447.143288699661,0.0,0.0,0.0,0.0,0.0,0.0,23.742112333386043
11.092000000000374,1.1575766391872924,0.0030169438031514527,-0.2983449829186479,0.012292261143814438,3128.678456428527,6463.790004743712,0.0,0.0,0.0,0.0,0.0,0.0,23.742140513035647
11.094000000000374,1.2295450114088964,0.0033062339563886094,-0.31906127414616314,0.013158315880581143,1784.2119864764654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7422676623353
11.096000000000375,1.3012070297826805,0.003594772354690346,-0.3397767844913565,0.014024239619036821,1667.8777608889973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.742629849735646
11.098000000000376,1.372533653400059,0.0038837822344829007,-0.36049773215136605,0.014890294206468134,1574.6677250543028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.742986532299753
11.100000000000376,1.444247388990489,0.004174490730523624,-0.38123026213239114,0.015756737696501627,0.0,11383.238181950619,0.0,0.0,0.0,0.0,0.0,0.0,23.743340352224195
11.102000000000377,1.5163344640498861,0.004489958147156151,-0.40203041627032077,0.0166258505272694,0.0,10997.955928410212,0.0,0.0,0.0,0.0,0.0,0.0,23.74348618508022
11.104000000000378,1.5876801561901963,0.00482938209884861,-0.4228976110491561,0.017497616332425293,6708.436248602795,14656.80053189276,0.0,0.0,0.0,0.0,0.0,0.0,23.74367652314392
11.106000000000378,1.6583397986217252,0.005209098883419722,-0.4439038305467996,0.018374961087953903,6295.605472474039,13944.822988256656,0.0,0.0,0.0,0.0,0.0,0.0,23.743380381327235
11.108000000000379,1.7283596994170238,0.0056270510025988735,-0.46504229367637695,0.01925761603384329,5945.649901187508,13336.700567660157,0.0,0.0,0.0,0.0,0.0,0.0,23.743165535132565
11.11000000000038,1.7977787886102001,0.0060814869723635825,-0.4863071099134754,0.02014534819713944,5648.296631791762,12816.941980022015,0.0,0.0,0.0,0.0,0.0,0.0,23.74301940587427
11.11200000000038,1.8666298572529936,0.006570913662855379,-0.5076931600932792,0.02103795558580845,5395.466663275976,12373.11173746055,0.0,0.0,0.0,0.0,0.0,0.0,23.74293145965087
11.114000000000381,1.9349511954047331,0.00709405848399474,-0.5291960005193449,0.021935263323686775,4322.254187961918,11950.596133482075,0.0,0.0,0.0,0.0,0.0,0.0,23.742892831746634
11.116000000000382,2.0027737792375824,0.007648089230542679,-0.550808933675042,0.022837004989737144,2379.727111960905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.742963759364958
11.118000000000382,2.0701150851969294,0.008204776714833502,-0.572439895071553,0.023739452869610805,2285.660594563396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.743425628145715
11.120000000000383,2.1378939685712455,0.008764025905602144,-0.5940877748334664,0.024642566773224545,0.0,12680.971753640852,0.0,0.0,0.0,0.0,0.0,0.0,23.743885638648077
11.122000000000384,2.2060825628995766,0.0093509493013062,-0.6158145074566388,0.02554886175405984,0.0,11923.305546164123,0.0,0.0,0.0,0.0,0.0,0.0,23.74417725040972
11.124000000000384,2.27341201838591,0.009963881550732703,-0.637616108985862,0.026458180516472148,7570.737685060807,15888.41720192428,0.0,0.0,0.0,0.0,0.0,0.0,23.744498451914144
11.126000000000385,2.339996221684474,0.010620718660264213,-0.659570715381526,0.027373694697028418,3595.2825431207666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.74421802984121
11.128000000000386,2.405899691037971,0.011281624624711266,-0.68155376833396,0.028290359107270183,3273.316800766979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.74464231589876
11.130000000000386,2.471142449010502,0.011946223967194122,-0.7035620790482755,0.02920804827707536,7454.541551119231,19134.543301572427,0.0,0.0,0.0,0.0,0.0,0.0,23.745075062155884
11.132000000000387,2.53577184402935,0.012661859805519662,-0.7257402621194875,0.030132627132277972,6856.538398499468,17541.624764588312,0.0,0.0,0.0,0.0,0.0,0.0,23.744704144106834
11.134000000000388,2.599827560300501,0.013424295647812924,-0.7480743004569599,0.03106353064256592,6346.596829814749,16171.654744944459,0.0,0.0,0.0,0.0,0.0,0.0,23.744443595901032
11.136000000000388,2.664277416990372,0.014229897517817947,-0.7705521089425218,0.0320002720298936,0.0,11444.310021940408,0.0,0.0,0.0,0.0,0.0,0.0,23.74427613849312
11.138000000000389,2.7290937690071386,0.015060491999785292,-0.7931000028103293,0.032939867729328276,0.0,10715.278278945927,0.0,0.0,0.0,0.0,0.0,0.0,23.744681662614475
