time,rel_trailer_x,rel_trailer_y,rel_trailer_z,hitch_roll,hitch_pitch,hitch_yaw
0.005,-1.2999999999999998,0.0,0.0,1.30682319101188e-19,0.5642498586473181,2.6539607277280505e-17
0.01,-1.299970905198547,-2.779086406901618e-19,0.005908715193368326,5.257673704111892e-18,1.149926807020652,5.360656219782881e-17
0.015,-1.2998791624785984,-5.612535497007759e-19,0.012041196949440804,1.8921904228511257e-17,1.7359763049593349,8.094654303645815e-17
0.02,-1.299724621295694,-8.472811659129461e-19,0.018176320082348853,4.107109421952742e-17,2.3215181418686304,1.0757347072076646e-16
0.025,-1.2995075515928463,-1.1255821736996563e-18,0.024304229737857508,6.688593234767411e-17,2.9064525137601613,1.3196972802088086e-16
0.030000000000000002,-1.2992281919169733,-1.3802060497609743e-18,0.030423247885715442,9.022542442785022e-17,3.490710474507678,1.513397717225487e-16
0.035,-1.298886809964292,-1.5818860285677177e-18,0.03653202500264955,1.147309641450435e-16,4.074225067471772,1.6842016940002183e-16
0.04,-1.2984837073960167,-1.759234768064815e-18,0.04262923857541488,1.2287889820087884e-16,4.656930304602776,1.8492924951585214e-16
0.045,-1.2980192194370053,-1.9301813569233286e-18,0.04871358315660124,1.2795597156937983e-16,5.238761217801433,1.9331997190338263e-16
0.049999999999999996,-1.297493714081822,-2.015985627569161e-18,0.054783771618153204,1.2622294441749465e-16,5.819653947587067,1.9343659259966248e-16
0.05499999999999999,-1.2969075912100374,-2.0152229626996887e-18,0.060838536766022897,1.2231434623114612e-16,6.399545828765012,1.7713970815358303e-16
0.05999999999999999,-1.2962612816316756,-1.84344379828884e-18,0.06687663289185614,1.0993614437334901e-16,6.978375471252841,1.601529170549121e-16
0.06499999999999999,-1.2955552460690316,-1.6646934684523014e-18,0.0728968372404193,8.950434969903429e-17,7.556082835749518,1.4468884285382633e-16
0.06999999999999999,-1.2947899740806228,-1.5020211579656181e-18,0.07889795138767884,5.392883996257774e-17,8.132609304029781,1.300041266333763e-16
0.075,-1.2939659829331962,-1.347708845527337e-18,0.0848788025257365,1.0835492671526768e-17,8.707897743689644,1.1940406132104233e-16
0.08,-1.2930838164278526,-1.2359831210447107e-18,0.09083824465154514,4.60787037025663e-16,8.386027141372695,-1.3817262066412933e-16
0.085,-1.2935847574971608,1.4314695118326726e-18,0.08750506080814624,-1.9866904528237038e-16,7.203643770525503,1.9200560290353136e-16
0.09000000000000001,-1.2952640371851147,-1.9948071449210553e-18,0.07523779657910805,-9.50995052736345e-16,5.274659601245987,6.264609783811868e-16
0.09500000000000001,-1.2974592723109275,-6.53250419936001e-18,0.0551581175322117,-1.7622059750325735e-15,3.6641120354114802,1.0806830445901813e-15
0.10000000000000002,-1.2987735059035082,-1.1293752888587394e-17,0.0383443428424846,-2.5912849494405592e-15,2.0638363946435203,1.5912544930409461e-15
0.10500000000000002,-1.2996107939657067,-1.665276880919166e-17,0.021607770820125747,-3.405060391692015e-15,0.4312626383205712,2.0678411392658808e-15
0.11000000000000003,-1.2999830035738975,-2.165376836119548e-17,0.004516129143871649,-4.186878428293615e-15,-1.2160946356303062,2.499862284887974e-15
0.11500000000000003,-1.299864856727433,-2.617260021779163e-17,-0.012733957098055927,-4.996794884508603e-15,-2.870619754161231,2.9369558056546897e-15
0.12000000000000004,-1.2992471014173872,-3.0717136034909673e-17,-0.03004848486795052,-5.838837199061498e-15,-4.527825072910205,3.414141797670737e-15
